ID,Title,View,Favorite,Like,Dislike,Reply,Share,Coin,Dynamic,View URL
31249738,芹香的发q期（没有狂暴雷普狼那种直接上的烂梗放心看）,10131,476,287,0,9,10,0,0,https://www.bilibili.com/read/cv31249738
31999798,【明日方舟】夕似乎有点欲求不满,5409,466,258,0,7,2,5,0,https://www.bilibili.com/read/cv31999798
31197644,【病娇】病娇神明的祝福变成了诅咒,5877,466,302,0,9,0,6,0,https://www.bilibili.com/read/cv31197644
31480288,（星铁同人）    收养记（其六）,9355,464,352,0,15,6,0,0,https://www.bilibili.com/read/cv31480288
31751041,（星穹铁道/同人）无常......,11254,457,355,0,17,13,9,0,https://www.bilibili.com/read/cv31751041
32001007,【明日方舟】饥渴的理由（博士×拉普兰德&德克萨斯/病娇/OOC警告）,5230,442,277,0,9,2,21,0,https://www.bilibili.com/read/cv32001007
31904913,【碧蓝档案/空崎日奈/同人文】为你而作的恋曲,12353,438,432,0,10,10,10,0,https://www.bilibili.com/read/cv31904913
31738214,【明日方舟】猎物（博士×德克萨斯/病娇/OOC警告）,6052,428,326,0,17,4,24,0,https://www.bilibili.com/read/cv31738214
32011082,马娘图文:病娇受虐佐岳,12334,423,423,0,45,17,7,0,https://www.bilibili.com/read/cv32011082
31147778,【Momotalk自制/妮可】Ep.3 白米饭,8844,422,329,0,6,8,2,0,https://www.bilibili.com/read/cv31147778
31782271,[原神/病娇]空被妮露俘获后的“快乐”生活~（2）,5792,421,181,0,7,1,2,0,https://www.bilibili.com/read/cv31782271
31955754,【崩坏三同人】奖励努力工作的大鸭鸭,6255,415,317,0,29,0,10,0,https://www.bilibili.com/read/cv31955754
31944711,（崩坏三同人文）在没有崩坏的世界组建一个家（22）,5430,413,245,0,7,2,6,0,https://www.bilibili.com/read/cv31944711
31573712,当舰长变成小正太会发生什么（观星X月下）,6015,400,243,0,14,2,5,0,https://www.bilibili.com/read/cv31573712
31247998,不同学生获得sensei的男友衬衫会是什么样子？,9401,395,234,0,14,6,4,0,https://www.bilibili.com/read/cv31247998
31223392,【崩坏三同人】休伯利安甲板上的小型雪地对战（打雪仗）,6684,394,317,0,18,1,5,0,https://www.bilibili.com/read/cv31223392
31570985,当舰长因为宿舍维修，不得不与她们住在一起（希儿+黑希）,7521,383,357,0,16,0,16,0,https://www.bilibili.com/read/cv31570985
31481124,【病娇/连载】合欢教主求放过（1）,7965,379,194,0,13,6,10,0,https://www.bilibili.com/read/cv31481124
31367280,重生的舰长，和截然不同的她们(二),7039,378,270,0,41,3,15,0,https://www.bilibili.com/read/cv31367280
31212085,[明日方舟]当博士忽悠特蕾西娅出道……,6573,376,296,0,19,5,17,0,https://www.bilibili.com/read/cv31212085
31424600,半夜失眠，碰巧遇到来夜袭的胡桃,7784,365,272,1,10,6,5,0,https://www.bilibili.com/read/cv31424600
31419167,一块橡木蛋糕换一座房子,11038,357,295,0,23,3,6,0,https://www.bilibili.com/read/cv31419167
31422407,星穹铁道同人：Like a BLAZER(blazar),15760,354,280,0,16,2,5,0,https://www.bilibili.com/read/cv31422407
31825224,【崩坏】布洛妮娅：一刻也没有为倒霉蛋感到惋惜，现在介入战场的是......,11032,353,175,0,4,4,6,0,https://www.bilibili.com/read/cv31825224
31706253,《方舟同人》病娇集；薇薇安娜的烛光为博士而熄灭。,3479,351,261,0,13,6,17,0,https://www.bilibili.com/read/cv31706253
31257035,爱之花：十六章【神里绫华&空】,10837,342,200,0,46,5,26,0,https://www.bilibili.com/read/cv31257035
31898434,【病娇/辣妹/吃瘪】逃不掉的梦魇,12908,341,619,0,43,1,173,0,https://www.bilibili.com/read/cv31898434
31217649,[病娇/原创]失去记忆沦为笼中鸟（26）,30984,340,327,0,23,7,47,0,https://www.bilibili.com/read/cv31217649
31906481,[EVA]水晶泪,10886,337,243,0,3,11,2,0,https://www.bilibili.com/read/cv31906481
31308048,[明日方舟/同人](11) 过去与现在的交汇，再也寻不回的碎片 ——德克萨斯,6532,327,231,0,10,9,14,0,https://www.bilibili.com/read/cv31308048
31562955,日奈变多了！[碧蓝档案/MMT],5551,322,225,0,20,5,10,0,https://www.bilibili.com/read/cv31562955
31570242,星穹铁道同人：Like a BLAZER(blazar),9785,317,210,0,12,3,2,0,https://www.bilibili.com/read/cv31570242
31556121,【星穹铁道 穹×希儿】情人节特辑 所求之物名为—— （下）,8966,317,293,0,22,4,22,0,https://www.bilibili.com/read/cv31556121
31185231,（桃/糖）“脑公～你～想～要～玩～枪剑play吗～”,6757,312,234,0,2,7,4,0,https://www.bilibili.com/read/cv31185231
32244058,（星穹铁道/希儿）迟到的情人节礼物  （开拓者x希儿）,3793,310,186,0,2,3,0,0,https://www.bilibili.com/read/cv32244058
31568850,追霞【3.1】,15263,306,246,0,10,2,13,0,https://www.bilibili.com/read/cv31568850
31830935,崩坏三举世无双（161）【变成御姐的舰长】,3217,301,127,0,7,1,8,0,https://www.bilibili.com/read/cv31830935
31169698,[崩铁]与萤火共舞(三),5867,298,276,0,4,3,10,0,https://www.bilibili.com/read/cv31169698
31336015,赛马娘怪文书（纯/后）爱的巧克力大作战（中）,6484,284,190,0,18,5,0,0,https://www.bilibili.com/read/cv31336015
31353500,【崩坏星穹铁道/镜流】春心触动，风雨欲来,3124,283,151,0,7,8,6,0,https://www.bilibili.com/read/cv31353500
31263027,［铁道/流萤］“待在冰冷枯燥的医疗舱，我更想被你关在你温暖的心里……”,4824,282,235,0,6,3,9,0,https://www.bilibili.com/read/cv31263027
31657951,胡桃的脸软软的...蹭蹭,5664,281,196,0,9,4,0,0,https://www.bilibili.com/read/cv31657951
31883490,【崩坏三/桃文/病娇文】最强的猎魔人先生要被病娇吸血鬼小姐抓去驯化成奴隶了（上）,2700,279,155,0,22,3,4,0,https://www.bilibili.com/read/cv31883490
32396948,【转载翻译】The Gold Bug By Edgar Allan Poe 金甲虫 埃德加·爱伦·坡（三）,10542,278,165,0,7,6,2,0,https://www.bilibili.com/read/cv32396948
31904031,如何约好和女朋友干员约会，结果睡过了！！！【明日方舟 蜜糖桃文】,23691,278,777,0,52,1,68,0,https://www.bilibili.com/read/cv31904031
31178636,超级容易吃醋且占有欲超强的魔王养母,17729,278,503,0,28,0,81,0,https://www.bilibili.com/read/cv31178636
31932900,[原神同人/空×胡桃 ]回趟老家却被拐进往生堂？！（13）被胡桃拉进竹林里……,7191,277,158,0,10,1,4,0,https://www.bilibili.com/read/cv31932900
32276756,【碧蓝航线同人】如果我们当时一起会怎么样,6514,270,206,0,2,2,0,0,https://www.bilibili.com/read/cv32276756
32109196,【自购/翻译】高达SEED剧场版小说 （7） (上卷完结),14605,264,215,0,178,6,20,0,https://www.bilibili.com/read/cv32109196
31959292,流萤奶凶奶凶的：穹是我的！！(情人节补档),3358,264,192,0,5,2,7,0,https://www.bilibili.com/read/cv31959292
31261113,崩铁卡芙卡x开拓者//逃不出的蛛网，也许是呵护,7021,263,188,0,7,5,11,0,https://www.bilibili.com/read/cv31261113
31227919,当我在星穹铁道的校园世界里，展开修罗场…chapter1：失眠（上）,6465,262,257,0,7,1,7,0,https://www.bilibili.com/read/cv31227919
32345561,【崩坏】布洛妮娅：尊重他人选择，嘲笑不分场合,6277,261,118,0,7,2,2,0,https://www.bilibili.com/read/cv32345561
32281089,[furry] 让你下不了床~ 买来的兽装活了... 还是个bt！？#8,7100,259,258,0,17,5,7,0,https://www.bilibili.com/read/cv32281089
31212346,【崩坏三同人】坏灭尽头的休止符 5—色欲之章（中）（维尔薇X舰长）,3399,259,143,0,7,1,8,0,https://www.bilibili.com/read/cv31212346
31572931,109 来自帕朵的角色扮演！舰长...警察抓小偷，怎么抓到卧室去啦！,6743,257,240,0,40,1,12,0,https://www.bilibili.com/read/cv31572931
31338164,当舰娘听到指挥官受伤时（腓特烈）（胡滕）,9187,252,133,0,15,2,2,0,https://www.bilibili.com/read/cv31338164
32290992,【转载翻译】The Gold Bug By Edgar Allan Poe 金甲虫 埃德加·爱伦·坡（一）,14662,251,121,0,19,4,2,0,https://www.bilibili.com/read/cv32290992
32293978,阿努比斯与《苏特梅洛》的试炼！更新p115-121,6865,247,308,0,5,5,10,0,https://www.bilibili.com/read/cv32293978
31424431,「崩铁/流萤」（2）你们这门婚事，我定了！,2601,247,135,0,13,3,0,0,https://www.bilibili.com/read/cv31424431
31739403,【赛马娘同人文】【里见光钻】普通人恋情,4190,243,230,0,20,1,2,0,https://www.bilibili.com/read/cv31739403
31996336,【病娇丨机械】机械人姐姐错误理解了人类情感【01】,4942,237,231,0,15,5,24,0,https://www.bilibili.com/read/cv31996336
32208923,从第一眼开始，逐渐变成花火的所有物,3550,236,149,0,5,4,4,0,https://www.bilibili.com/read/cv32208923
32347230,丽塔的生日礼物！那必须是舰长大人咯～,4917,233,242,0,4,0,5,0,https://www.bilibili.com/read/cv32347230
32346082,[明日方舟/同人](12) 意料之外的访客，除却罪责的叹息 ——德克萨斯,2623,227,144,0,13,2,12,0,https://www.bilibili.com/read/cv32346082
31745703,【原神/同人/长篇】开局穿枫丹，给人们来点福尔摩斯震撼（第十四章）,5354,220,178,0,10,0,2,0,https://www.bilibili.com/read/cv31745703
31362622,【碧蓝航线】济安姐，下次还是我来做饭吧,5916,220,148,0,24,2,7,0,https://www.bilibili.com/read/cv31362622
31321669,【流萤x星】滴答滴答 一起来梦游吧！,3231,220,186,0,5,2,3,0,https://www.bilibili.com/read/cv31321669
32385517,【病娇】我被宛如暴君的她，喜欢上了！,2090,219,134,0,8,0,11,0,https://www.bilibili.com/read/cv32385517
31817264,[病娇/母子]和网络认识的男娘玩游戏被美人母亲发现后,11676,219,437,0,40,2,105,0,https://www.bilibili.com/read/cv31817264
31646542,【崩坏：星穹铁道】流星之约（星x流萤）（五百粉贺礼）,3579,219,166,0,54,9,19,0,https://www.bilibili.com/read/cv31646542
31409162,【明日方舟/同人/短文】宠妻的博士会为艾丽妮做什么呢？（艾丽妮x博士）,2245,219,123,0,12,2,15,0,https://www.bilibili.com/read/cv31409162
31701460,【布洛妮娅.五】五号屠场,6459,218,207,0,9,5,5,0,https://www.bilibili.com/read/cv31701460
31222202,原神/校园/后宫、十：斗争进行篇*1,5227,218,211,0,5,7,5,0,https://www.bilibili.com/read/cv31222202
31501941,【病娇】诡异的家里,4853,217,271,0,51,13,23,0,https://www.bilibili.com/read/cv31501941
31276926,九条裟罗被深渊空当着九条家众人的面……（颜色文）。2024年2月4日,10887,215,111,0,9,1,2,0,https://www.bilibili.com/read/cv31276926
31850185,指挥官报告:指挥官的病娇母亲想独占女儿,5617,213,150,0,5,3,2,0,https://www.bilibili.com/read/cv31850185
31252498,被深渊空抓住后玷污的凝光。单篇，2024年2月4日,5837,213,118,0,16,2,22,0,https://www.bilibili.com/read/cv31252498
31223661,【BTS防弹少年团/田柾国】当他发现你变成猫咪后...,6782,212,309,0,18,3,9,0,https://www.bilibili.com/read/cv31223661
32386350,月亮计划的那些概念神,8892,211,151,0,29,13,6,0,https://www.bilibili.com/read/cv32386350
31488335,指挥官与欧根誓约的婚礼,6089,209,136,0,10,1,2,0,https://www.bilibili.com/read/cv31488335
32041245,【自购/翻译】高达SEED剧场版小说 （6） ,12765,202,166,0,64,3,14,0,https://www.bilibili.com/read/cv32041245
31540769,贫困潦倒的我，被希儿捡回家给鸭鸭做专属男佣了鸭！,6836,199,353,0,23,4,36,0,https://www.bilibili.com/read/cv31540769
31170889,【Momotalk自制/胡桃】Ep.1 傲娇的狐狸,4226,199,143,0,1,2,2,0,https://www.bilibili.com/read/cv31170889
31369795,[崩铁]与萤火共舞(六),4166,198,185,0,9,1,8,0,https://www.bilibili.com/read/cv31369795
31952481,冷漠的阿芙朵嘉竟然也会.......,6168,189,166,0,8,5,11,0,https://www.bilibili.com/read/cv31952481
31566069,【明日方舟同人/桃】被W酱骚扰了呢博士该如何应对呢,6176,186,228,0,4,2,1,0,https://www.bilibili.com/read/cv31566069
